model,model_slug,weighting,negative_log_score,interval_score,coverage,width
DR normal,dr_normal,equal,3.3341969166674836,0.0752910683805549,0.9767160268371115,0.041774093248532054
DR-AS normal,dras_normal,equal,3.203191213540656,0.07497906420585139,0.9792062011195363,0.0438794524437688
"Beta, no hurdle",beta_no_hurdle,equal,3.2554886314784564,0.07512757365226141,0.9787258327047521,0.043542174174876214
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,7.023687756746205,0.07868336329294602,0.9334759220294573,0.03133379073035579
MHB,mhb,equal,1.9974381758217234,0.07872353103415344,0.9358509666918099,0.03221224238136726
DR normal,dr_normal,volume,9.598362489424348,0.24134534526700094,0.8758714889972612,0.09712485266770372
DR-AS normal,dras_normal,volume,3.1245902143704214,0.1896306420891961,0.9801447331260531,0.14828004172584505
"Beta, no hurdle",beta_no_hurdle,volume,6.2704044666051235,0.2125263849205499,0.9485286816812778,0.1285784512289569
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,6.032073785740907,0.21477659875107397,0.9486751969466333,0.13857717699503314
MHB,mhb,volume,5.527139350246399,0.21513662825568167,0.9486260271481477,0.1389550844379664
DR normal,dr_normal,contract_balanced,6.672449056220291,0.21975375487505258,0.9388263080246803,0.12293716332506509
DR-AS normal,dras_normal,contract_balanced,4.097204232946394,0.21665349121085867,0.9806794626654459,0.16503763525764176
"Beta, no hurdle",beta_no_hurdle,contract_balanced,7.438589474584295,0.21661441794569186,0.9752037954650915,0.15741664339266342
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,8.878991648002124,0.2246136050766852,0.9644935895668268,0.16369078720332148
MHB,mhb,contract_balanced,6.550277546214958,0.22504774412599485,0.9648622177003368,0.1644205506346929
