model,model_slug,weighting,level,coverage,interval_score,width
DR normal,dr_normal,equal,0.5,0.9205079598237326,0.020112229445814984,0.014704759950550943
DR normal,dr_normal,volume,0.5,0.6832784055719276,0.06459798789139257,0.03628969916312853
DR normal,dr_normal,contract_balanced,0.5,0.8224805438979987,0.06317593568836771,0.04713112303830617
DR-AS normal,dras_normal,equal,0.5,0.9263170431537576,0.02058726441439123,0.015470043895145976
DR-AS normal,dras_normal,volume,0.5,0.8849842317215498,0.07417924577169446,0.056065705998031415
DR-AS normal,dras_normal,contract_balanced,0.5,0.9252862749466922,0.0740636384079375,0.06352065761970131
"Beta, no hurdle",beta_no_hurdle,equal,0.5,0.9183800468458454,0.020248594156023775,0.014888295607778365
"Beta, no hurdle",beta_no_hurdle,volume,0.5,0.7716235483127192,0.07039781212575251,0.04686925860843494
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.5,0.872376778417688,0.07180263699869785,0.0574600288158462
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.5,0.8380354519830084,0.01092429260329872,0.0015936247014954861
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.5,0.6759781111461476,0.06008685171598244,0.02676864811797397
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.5,0.7506012268021492,0.055552400723714354,0.03438463445500794
MHB,mhb,equal,0.5,0.8381734090277502,0.010961103823056291,0.0016443097792925164
MHB,mhb,volume,0.5,0.6720965976385634,0.06022266673894039,0.026048754290716687
MHB,mhb,contract_balanced,0.5,0.7483736639607776,0.055565372429429875,0.03416023239147115
DR normal,dr_normal,equal,0.8,0.9609174639723689,0.037912866589918576,0.027672193357403514
DR normal,dr_normal,volume,0.8,0.8049805685229171,0.1140116162310373,0.06662793722354758
DR normal,dr_normal,contract_balanced,0.8,0.9062400205087519,0.11570858567608323,0.08564486026325979
DR-AS normal,dras_normal,equal,0.8,0.964555956965342,0.03864778376330727,0.02909096131946609
DR-AS normal,dras_normal,volume,0.8,0.9348318893985786,0.12277165314610516,0.10215599622531041
DR-AS normal,dras_normal,contract_balanced,0.8,0.9674367935213191,0.1325416804977033,0.114964142883996
"Beta, no hurdle",beta_no_hurdle,equal,0.8,0.9627903052919925,0.03812434584718288,0.028345504077783888
"Beta, no hurdle",beta_no_hurdle,volume,0.8,0.9033347825900241,0.11903684773085596,0.08646180473647502
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.8,0.9528702228245162,0.126430302849368,0.10608914653448581
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.8,0.8742992973123189,0.0269753837321605,0.008557799576178813
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.8,0.8782583117236148,0.11017434188822431,0.07398733214138686
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.8,0.899938234332786,0.11603714809521697,0.08935165203368549
MHB,mhb,equal,0.8,0.8761354162531264,0.02728305815881836,0.009041379364790363
MHB,mhb,volume,0.8,0.8766626538280267,0.10923149795435923,0.0728130104691682
MHB,mhb,contract_balanced,0.8,0.8999186064873573,0.11594157544998514,0.0892410950975183
DR normal,dr_normal,equal,0.95,0.9767160268371115,0.0752910683805549,0.041774093248532054
DR normal,dr_normal,volume,0.95,0.8758714889972612,0.24134534526700094,0.09712485266770372
DR normal,dr_normal,contract_balanced,0.95,0.9388263080246803,0.21975375487505258,0.12293716332506509
DR-AS normal,dras_normal,equal,0.95,0.9792062011195363,0.07497906420585139,0.0438794524437688
DR-AS normal,dras_normal,volume,0.95,0.9801447331260531,0.1896306420891961,0.14828004172584505
DR-AS normal,dras_normal,contract_balanced,0.95,0.9806794626654459,0.21665349121085867,0.16503763525764176
"Beta, no hurdle",beta_no_hurdle,equal,0.95,0.9787258327047521,0.07512757365226141,0.043542174174876214
"Beta, no hurdle",beta_no_hurdle,volume,0.95,0.9485286816812778,0.2125263849205499,0.1285784512289569
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.95,0.9752037954650915,0.21661441794569186,0.15741664339266342
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.95,0.9334759220294573,0.07868336329294602,0.03133379073035579
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.95,0.9486751969466333,0.21477659875107397,0.13857717699503314
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.95,0.9644935895668268,0.2246136050766852,0.16369078720332148
MHB,mhb,equal,0.95,0.9358509666918099,0.07872353103415344,0.03221224238136726
MHB,mhb,volume,0.95,0.9486260271481477,0.21513662825568167,0.1389550844379664
MHB,mhb,contract_balanced,0.95,0.9648622177003368,0.22504774412599485,0.1644205506346929
