model_a,model_b,metric,weighting,difference_b_minus_a,ci_low,ci_high,clusters,draws
MHB,DR normal,nll,equal,1.3367587408457602,1.2290315268240888,1.4461795704550755,1404,999
MHB,DR-AS normal,nll,equal,1.2057530377189325,1.108118954145546,1.308606218910977,1404,999
MHB,"Beta, no hurdle",nll,equal,1.2580504556567327,1.1647244084113784,1.3628848827810933,1404,999
MHB,"Hurdle beta, post-hoc coherence",nll,equal,5.026249580924482,4.488437156342861,5.589171811579265,1404,999
MHB,DR normal,is,equal,-0.003432462653598526,-0.004342473874518992,-0.002527112439371554,1404,999
MHB,DR-AS normal,is,equal,-0.0037444668283020443,-0.0047493587343566705,-0.0028752525003380514,1404,999
MHB,"Beta, no hurdle",is,equal,-0.003595957381892036,-0.004539518657902883,-0.002685876565834029,1404,999
MHB,"Hurdle beta, post-hoc coherence",is,equal,-4.016774120742424e-05,-0.0001131546961951569,3.238996832562191e-05,1404,999
MHB,DR normal,nll,volume,4.071223139177948,-5.9248681640906735,11.98460937554652,1394,999
MHB,DR-AS normal,nll,volume,-2.402549135875978,-6.498317622750796,-0.8306916648340095,1394,999
MHB,"Beta, no hurdle",nll,volume,0.7432651163587242,0.6201280461166061,1.0664087746478907,1394,999
MHB,"Hurdle beta, post-hoc coherence",nll,volume,0.5049344354945077,0.13288416931989946,1.4201720870330095,1394,999
MHB,DR normal,is,volume,0.026208717011319292,-0.015664707781803816,0.05823059683265294,1394,999
MHB,DR-AS normal,is,volume,-0.025505986166485552,-0.03739343674654819,-0.010692547606757983,1394,999
MHB,"Beta, no hurdle",is,volume,-0.002610243335131746,-0.014511277026181659,0.004492992238135229,1394,999
MHB,"Hurdle beta, post-hoc coherence",is,volume,-0.00036002950460766695,-0.0011434480799689126,1.0322039784708702e-05,1394,999
MHB,DR normal,nll,contract_balanced,0.12217151000533436,-1.3077850638984712,1.6689645309804215,1404,999
MHB,DR-AS normal,nll,contract_balanced,-2.453073313268563,-3.80870947461514,-1.274208843394608,1404,999
MHB,"Beta, no hurdle",nll,contract_balanced,0.8883119283693364,0.7644360446040327,1.0523460237961162,1404,999
MHB,"Hurdle beta, post-hoc coherence",nll,contract_balanced,2.328714101787167,1.5063143099936052,3.510867527845266,1404,999
MHB,DR normal,is,contract_balanced,-0.00529398925094225,-0.01103451674756478,0.0010189865604246318,1404,999
MHB,DR-AS normal,is,contract_balanced,-0.00839425291513615,-0.010730683001865093,-0.006356316618026251,1404,999
MHB,"Beta, no hurdle",is,contract_balanced,-0.008433326180302998,-0.01005691129457472,-0.006761517049600678,1404,999
MHB,"Hurdle beta, post-hoc coherence",is,contract_balanced,-0.0004341390493096211,-0.0007728212615206684,-7.441991511868815e-05,1404,999
