category,regime,model,model_slug,weighting,n,weight_sum,negative_log_score,interval_score
All,all,DR normal,dr_normal,equal,1007560,1007560.0,3.3341969166674836,0.0752910683805549
All,all,DR-AS normal,dras_normal,equal,1007560,1007560.0,3.203191213540656,0.07497906420585139
All,all,"Beta, no hurdle",beta_no_hurdle,equal,1007560,1007560.0,3.2554886314784564,0.07512757365226141
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,1007560,1007560.0,7.023687756746205,0.07868336329294602
All,all,MHB,mhb,equal,1007560,1007560.0,1.9974381758217234,0.07872353103415344
All,all,DR normal,dr_normal,volume,1007560,1049530638.51,9.598362489424348,0.24134534526700094
All,all,DR-AS normal,dras_normal,volume,1007560,1049530638.51,3.1245902143704214,0.1896306420891961
All,all,"Beta, no hurdle",beta_no_hurdle,volume,1007560,1049530638.51,6.2704044666051235,0.2125263849205499
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,1007560,1049530638.51,6.032073785740907,0.21477659875107397
All,all,MHB,mhb,volume,1007560,1049530638.51,5.527139350246399,0.21513662825568167
All,all,DR normal,dr_normal,contract_balanced,1007560,1404.0,6.672449056220291,0.21975375487505258
All,all,DR-AS normal,dras_normal,contract_balanced,1007560,1404.0,4.097204232946394,0.21665349121085867
All,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,1007560,1404.0,7.438589474584295,0.21661441794569186
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,1007560,1404.0,8.878991648002124,0.2246136050766852
All,all,MHB,mhb,contract_balanced,1007560,1404.0,6.550277546214958,0.22504774412599485
Economics,all,DR normal,dr_normal,equal,749239,749239.0,4.175461447222729,0.09244917797919541
Economics,all,DR-AS normal,dras_normal,equal,749239,749239.0,3.993598135552566,0.09168088572868986
Economics,all,"Beta, no hurdle",beta_no_hurdle,equal,749239,749239.0,4.003144106652828,0.09200861342656846
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,749239,749239.0,8.779600741577328,0.09763086682285133
Economics,all,MHB,mhb,equal,749239,749239.0,2.506053885400286,0.09769837115373936
Economics,all,DR normal,dr_normal,volume,749239,108502671.50999999,5.064205702918699,0.19342510859659906
Economics,all,DR-AS normal,dras_normal,volume,749239,108502671.50999999,3.8702022625722696,0.18570166818357042
Economics,all,"Beta, no hurdle",beta_no_hurdle,volume,749239,108502671.50999999,4.27674812640985,0.1837876255541282
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,749239,108502671.50999999,5.079476243824068,0.1923448381970179
Economics,all,MHB,mhb,volume,749239,108502671.50999999,3.49980828819257,0.19333889300933285
Economics,all,DR normal,dr_normal,contract_balanced,749239,1111.0,7.745727222806424,0.21279447215472821
Economics,all,DR-AS normal,dras_normal,contract_balanced,749239,1111.0,4.457463173325086,0.20779347594460693
Economics,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,749239,1111.0,4.838392725386486,0.2053126084915856
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,749239,1111.0,6.697420072795701,0.21281640772066096
