model,model_slug,weighting,negative_log_score,interval_score,coverage,width
DR normal,dr_normal,equal,2.9583675251777217,0.06945449076968134,0.9796073349920814,0.041654874436732305
DR-AS normal,dras_normal,equal,2.8558506042255876,0.06943819742392292,0.9818277862607804,0.043590936019169864
"Beta, no hurdle",beta_no_hurdle,equal,2.871793057440575,0.06955546300527751,0.981400932386752,0.043309933018556214
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,6.9163028000466085,0.07327409431290999,0.9354010905558834,0.030828469691209393
MHB,mhb,equal,1.726157164844209,0.07330358401600935,0.9378162115248518,0.03170240134081135
DR normal,dr_normal,volume,9.592529689266312,0.24063322697961742,0.8763440412282043,0.09706839868997001
DR-AS normal,dras_normal,volume,3.125942713420955,0.18975259530658745,0.9801317876075155,0.14848643013446408
"Beta, no hurdle",beta_no_hurdle,volume,6.279632987741859,0.21272895843194123,0.9484848851652191,0.12826225323669022
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,6.044488837259284,0.2151147948869336,0.9485945146281319,0.13822872849814288
MHB,mhb,volume,5.5344323094006445,0.21547608759198605,0.9484907579718821,0.13859070889462766
DR normal,dr_normal,contract_balanced,7.573046236528233,0.23134788410291546,0.9439536064863797,0.1232582208253717
DR-AS normal,dras_normal,contract_balanced,5.012483731890754,0.22740851527337594,0.9785351703000287,0.15926282603594707
"Beta, no hurdle",beta_no_hurdle,contract_balanced,8.346316105567004,0.22812280053022158,0.9732140631096725,0.15258322820722683
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,9.665807991170716,0.23572331992663537,0.9620671351031665,0.158598759750062
MHB,mhb,contract_balanced,7.231247969010687,0.2362178808596914,0.9624458703411503,0.1593707493714275
