category,regime,model,model_slug,weighting,n,weight_sum,negative_log_score,interval_score
All,all,DR normal,dr_normal,equal,1022768,1022768.0,3.9025467148750406,0.08448868297955281
All,all,DR-AS normal,dras_normal,equal,1022768,1022768.0,3.7129542263555964,0.0834735561719014
All,all,"Beta, no hurdle",beta_no_hurdle,equal,1022768,1022768.0,3.832842472148857,0.08372008390992286
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,1022768,1022768.0,7.431544487649972,0.08717236678736856
All,all,MHB,mhb,equal,1022768,1022768.0,2.537757755030057,0.08721204489924017
All,all,DR normal,dr_normal,volume,1022768,1050524633.51,9.633514224196016,0.24223860101553807
All,all,DR-AS normal,dras_normal,volume,1022768,1050524633.51,3.1247936887530585,0.18991075528792156
All,all,"Beta, no hurdle",beta_no_hurdle,volume,1022768,1050524633.51,6.26711487135952,0.21271435616493345
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,1022768,1050524633.51,6.026779589602833,0.214901458259722
All,all,MHB,mhb,volume,1022768,1050524633.51,5.525030396655708,0.21525310090217403
All,all,DR normal,dr_normal,contract_balanced,1022768,1404.0,7.994248839585543,0.24290243298563657
All,all,DR-AS normal,dras_normal,contract_balanced,1022768,1404.0,4.095525546613055,0.22458944549303345
All,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,1022768,1404.0,7.414310140724261,0.2257268662781556
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,1022768,1404.0,8.743197779052593,0.23378569267537005
All,all,MHB,mhb,contract_balanced,1022768,1404.0,6.551586392363229,0.2341644857520801
Economics,all,DR normal,dr_normal,equal,764198,764198.0,4.9152465022922085,0.1041510700883923
Economics,all,DR-AS normal,dras_normal,equal,764198,764198.0,4.656200813763232,0.10249987052324071
Economics,all,"Beta, no hurdle",beta_no_hurdle,equal,764198,764198.0,4.755919164070975,0.10293627023343935
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,764198,764198.0,9.293503380696025,0.10837485964669873
Economics,all,MHB,mhb,equal,764198,764198.0,3.2145535745290634,0.10844441229011902
Economics,all,DR normal,dr_normal,volume,764198,109376793.50999999,5.440112847371929,0.20175669506974467
Economics,all,DR-AS normal,dras_normal,volume,764198,109376793.50999999,3.8768816667144197,0.18985139389699093
Economics,all,"Beta, no hurdle",beta_no_hurdle,volume,764198,109376793.50999999,4.28004601050428,0.18721027789657335
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,764198,109376793.50999999,5.180279426195423,0.1957293782860359
Economics,all,MHB,mhb,volume,764198,109376793.50999999,3.5140459034775136,0.19668075422829673
Economics,all,DR normal,dr_normal,contract_balanced,764198,1111.0,9.411332823615831,0.24049449286680047
Economics,all,DR-AS normal,dras_normal,contract_balanced,764198,1111.0,4.453579634784769,0.21755103644537657
Economics,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,764198,1111.0,4.815082801969927,0.21594564381066297
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,764198,1111.0,6.592279491664284,0.22354258634284793
Economics,all,MHB,mhb,contract_balanced,764198,1111.0,3.971935264926836,0.22396846294084582
Politics,all,DR normal,dr_normal,equal,6884,6884.0,2.8575271554438224,0.08524458147442786
Politics,all,DR-AS normal,dras_normal,equal,6884,6884.0,2.629180374280127,0.09867113855644347
Politics,all,"Beta, no hurdle",beta_no_hurdle,equal,6884,6884.0,2.916136052544613,0.09308678736498177
Politics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,6884,6884.0,3.0056461626544424,0.0994618454206861
Politics,all,MHB,mhb,equal,6884,6884.0,2.1974097903880607,0.09926026839951153
Politics,all,DR normal,dr_normal,volume,6884,594423494.0,13.927938228651136,0.2509759392242955
Politics,all,DR-AS normal,dras_normal,volume,6884,594423494.0,2.961714400244606,0.15858127385236365
Politics,all,"Beta, no hurdle",beta_no_hurdle,volume,6884,594423494.0,3.9378086661275247,0.19855490251032537
Politics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,6884,594423494.0,3.9690413214576417,0.19290866003929777
Politics,all,MHB,mhb,volume,6884,594423494.0,3.4546970573402063,0.1929595824780388
Politics,all,DR normal,dr_normal,contract_balanced,6884,13.000000000000002,4.737463488390126,0.2525137547418598
Politics,all,DR-AS normal,dras_normal,contract_balanced,6884,13.000000000000002,3.1653177395194403,0.2558773058732595
Politics,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,6884,13.000000000000002,4.6751231433498335,0.253197155416021
Politics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,6884,13.000000000000002,4.810505701399311,0.2511960592368515
Politics,all,MHB,mhb,contract_balanced,6884,13.000000000000002,4.421646955339644,0.25123184855767977
Sports,all,DR normal,dr_normal,equal,251686,251686.0,0.8562539632023191,0.024766805286555806
Sports,all,DR-AS normal,dras_normal,equal,251686,251686.0,0.8786032636240482,0.025287993479499025
Sports,all,"Beta, no hurdle",beta_no_hurdle,equal,251686,251686.0,1.055164115700969,0.025117493608343533
Sports,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,251686,251686.0,1.8991057422341056,0.022458781569970093
Sports,all,MHB,mhb,equal,251686,251686.0,0.4921014361211532,0.022414349890575846
Sports,all,DR normal,dr_normal,volume,251686,346724346.0,3.5940025801297826,0.24002964728148135
Sports,all,DR-AS normal,dras_normal,volume,251686,346724346.0,3.167124690820605,0.24364067876647288
Sports,all,"Beta, no hurdle",beta_no_hurdle,volume,251686,346724346.0,10.88730832496199,0.24503474654480165
Sports,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,251686,346724346.0,9.821596595812046,0.25865384187070917
Sports,all,MHB,mhb,volume,251686,346724346.0,9.708785675734877,0.25933184823759375
Sports,all,DR normal,dr_normal,contract_balanced,251686,280.0,2.5226699228280087,0.252010555447051
Sports,all,DR-AS normal,dras_normal,contract_balanced,251686,280.0,2.7180062949467785,0.2510641964466186
Sports,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,251686,280.0,17.854849441874023,0.2632619534302701
