model,model_slug,weighting,level,coverage,interval_score,width
DR normal,dr_normal,equal,0.5,0.915827829870805,0.023127377682193157,0.014866916201389104
DR normal,dr_normal,volume,0.5,0.6827560296896475,0.06492559272861084,0.03630528130146519
DR normal,dr_normal,contract_balanced,0.5,0.8113410647795739,0.07333187296751838,0.047059079141874724
DR-AS normal,dras_normal,equal,0.5,0.9218919075033213,0.023650410548547492,0.015856953869580706
DR-AS normal,dras_normal,volume,0.5,0.8849591898409668,0.0745562174915997,0.056413945687945374
DR-AS normal,dras_normal,contract_balanced,0.5,0.9218410553322788,0.08713867358420753,0.07377363716414256
"Beta, no hurdle",beta_no_hurdle,equal,0.5,0.9140939984981805,0.023292291805652076,0.015226432012804669
"Beta, no hurdle",beta_no_hurdle,volume,0.5,0.7716792918573175,0.07078627844789392,0.047243762569796316
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.5,0.8684823688350685,0.08422253865629958,0.0660923872405262
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.5,0.8356017867801375,0.014226619171740767,0.002256315925251854
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.5,0.6759785739222722,0.06051559109126957,0.02717090046701213
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.5,0.750639849281341,0.06825129776382216,0.043481116668833766
MHB,mhb,equal,0.5,0.8356672507075881,0.014251991751100732,0.0022929924143563194
MHB,mhb,volume,0.5,0.6720787994558832,0.06064012731991296,0.026463297441813652
MHB,mhb,contract_balanced,0.5,0.7477040928387846,0.06823988920598556,0.04325018177587595
DR normal,dr_normal,equal,0.8,0.9563066792460095,0.044964732746972984,0.027988128676293196
DR normal,dr_normal,volume,0.8,0.8044799345048885,0.11473265292028062,0.06666071652151727
DR normal,dr_normal,contract_balanced,0.8,0.8941951174722974,0.13950854010586652,0.08556002342152193
DR-AS normal,dras_normal,equal,0.8,0.9603355988986657,0.04553763501910334,0.029776051344318696
DR-AS normal,dras_normal,volume,0.8,0.9348692210541006,0.1232451810821711,0.1025873620109936
DR-AS normal,dras_normal,contract_balanced,0.8,0.9657056865374193,0.14929403888302156,0.12916628460405918
"Beta, no hurdle",beta_no_hurdle,equal,0.8,0.958528601960067,0.0450117987632164,0.028936272705755918
"Beta, no hurdle",beta_no_hurdle,volume,0.8,0.9033820241883231,0.11956714350666114,0.08702493629787017
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.8,0.9496579042524288,0.1435877559541195,0.11780670543255135
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.8,0.872049791093055,0.03414389717421891,0.009610292726179874
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.8,0.8783959247090882,0.11076326517671596,0.07462729828620378
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.8,0.8988447285221783,0.13347827693866351,0.10163946190033867
MHB,mhb,equal,0.8,0.8736786876407956,0.03444398296274713,0.010075683225210809
MHB,mhb,volume,0.8,0.8769145480638237,0.10984482491444403,0.0734886025078606
MHB,mhb,contract_balanced,0.8,0.8986883939487438,0.13337844950221103,0.10154564149853881
DR normal,dr_normal,equal,0.95,0.9723501549954753,0.10114015835590813,0.04227222344331077
DR normal,dr_normal,volume,0.95,0.8753592005263244,0.2438505324812064,0.09717659408422041
DR normal,dr_normal,contract_balanced,0.95,0.926719672647928,0.3078496047852448,0.12287669548638136
DR-AS normal,dras_normal,equal,0.95,0.9752787030440726,0.09911651461579203,0.044863517978830154
DR-AS normal,dras_normal,volume,0.95,0.9801601284974147,0.1901131546941259,0.14869010681612516
DR-AS normal,dras_normal,contract_balanced,0.95,0.9804024907024285,0.233992350121215,0.18168544739224218
"Beta, no hurdle",beta_no_hurdle,equal,0.95,0.974709744498142,0.09946854313077375,0.04437649887899682
"Beta, no hurdle",beta_no_hurdle,volume,0.95,0.9485634080894954,0.21298387256603218,0.12926105547177752
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.95,0.9729627095827312,0.24269750734870973,0.17112813702637034
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.95,0.930522556173826,0.10283013858271699,0.03250352980440576
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.95,0.9488309279567557,0.21514472631782966,0.13931952720625457
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.95,0.9629616783243861,0.25074265498006554,0.17758779951730683
MHB,mhb,equal,0.95,0.9329091014113252,0.10286098646174499,0.03339298763913096
MHB,mhb,volume,0.95,0.9487662606773836,0.21548587074740835,0.1397041451858342
MHB,mhb,contract_balanced,0.95,0.9632575601692438,0.25110687195068165,0.1782606067958494
