,mean,std,min,max
seed,9201.0,1.0,9200.0,9202.0
true_k,0.6999999999999998,1.3597399555105182e-16,0.7,0.7
fitted_k,0.7551530376289147,0.2091638006662689,0.5995801118419144,0.9929310443011817
relative_k_error,0.07879005375559263,0.29880542952324135,-0.14345698308297938,0.4184729204302597
release_mae,0.0016786599700567624,0.0015705737062122922,0.00036029551267005117,0.0034163310187060774
hazard_mae,0.012134746813553565,0.0018611570627578959,0.009985670592805567,0.013212311525193678
hazard_bias,-0.004987396955912954,0.006466780020142314,-0.009403775306010288,0.0024352860134081254
update_rate_error,-0.007574465814944993,0.015269569408262736,-0.02161253916000694,0.00868357093783001
coverage_95,0.9553333333333333,0.006768554744798423,0.9496,0.9628
mean_interval_score,0.4724939087467645,0.008509895951105033,0.46336885839395364,0.480213714579468
mean_negative_log_score,2.3183441668719635,0.07272490296211506,2.2561572702615726,2.3983099378999997
minimum_coherence_margin,0.0200267202469621,0.0025512155048827965,0.01709306450985336,0.021725816418242228
