index,model,weighting,negative_log_score,interval_score,coverage,width
0,"Beta, no hurdle",equal,3.0783624240693728,0.1367747225554382,0.9592398788212612,0.07653051247995395
1,"Beta, no hurdle",volume,4.09818216003617,0.42978141994919467,0.9440453905182665,0.252443388429862
2,DR normal,equal,4.088012066894281,0.13323604163745856,0.9483613329661249,0.05409660343823156
3,DR normal,volume,4.669591016690262,0.4518784729106858,0.9025827478891651,0.15444405568569558
4,DR-AS normal,equal,3.33255164588938,0.13970440124410002,0.9596529881575322,0.08307670611128176
5,DR-AS normal,volume,3.929142592365221,0.44155698795152637,0.9534922843576381,0.29011992052339447
6,"Hurdle beta, post-hoc coherence",equal,2.0564265246058726,0.13679790530474978,0.9658496282015971,0.08298785531675051
7,"Hurdle beta, post-hoc coherence",volume,3.108558418297301,0.40988068875078953,0.9528381715140644,0.25585812331087493
8,MHB,equal,2.057760887507353,0.13694087162994356,0.9664004406499584,0.0833289811460628
9,MHB,volume,3.1405774075897392,0.40964028871305097,0.9549220639939524,0.25711979098193954
