model,model_slug,weighting,level,coverage,interval_score,width
DR normal,dr_normal,equal,0.5,0.7969034608378871,0.02899225718947652,0.015200457103088772
DR normal,dr_normal,volume,0.5,0.8104731387541666,0.04660528916458299,0.02786776649521042
DR normal,dr_normal,contract_balanced,0.5,0.7832211187935498,0.024151754030904592,0.014691570607350534
DR-AS normal,dras_normal,equal,0.5,0.8242258652094717,0.033161987064145027,0.021288108514999054
DR-AS normal,dras_normal,volume,0.5,0.9335772696992719,0.08456887136132914,0.0768341300251865
DR-AS normal,dras_normal,contract_balanced,0.5,0.9606258574523282,0.05918219521273308,0.055899908067482386
"Beta, no hurdle",beta_no_hurdle,equal,0.5,0.7978142076502732,0.03027124186487595,0.01731406134398968
"Beta, no hurdle",beta_no_hurdle,volume,0.5,0.8071818373942568,0.06191812650868898,0.04719354131904404
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.5,0.8237525033674041,0.03653562940737868,0.028743602602642037
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.5,0.7166059502125076,0.02644500372173812,0.008688885972725217
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.5,0.5776953386024699,0.03752979027642406,0.006312796759700817
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.5,0.8104698564357374,0.026039362303548298,0.014863051630918453
MHB,mhb,equal,0.5,0.7184274438372799,0.026410642909027806,0.009113368405224696
MHB,mhb,volume,0.5,0.5750684136891075,0.03793926064434795,0.006548763778266339
MHB,mhb,contract_balanced,0.5,0.8002936752432283,0.02577185989675652,0.014194903966171443
DR normal,dr_normal,equal,0.8,0.9054341226472374,0.05346134069176545,0.02852751023045118
DR normal,dr_normal,volume,0.8,0.920664727170261,0.08267371110394615,0.05138524210179306
DR normal,dr_normal,contract_balanced,0.8,0.9312883249116931,0.04250142828770339,0.026728905209313147
DR-AS normal,dras_normal,equal,0.8,0.9231936854887675,0.060146846364854345,0.039669126339538265
DR-AS normal,dras_normal,volume,0.8,0.9778445122290611,0.1484603517234966,0.13860264246630813
DR-AS normal,dras_normal,contract_balanced,0.8,0.9904833601564608,0.09836937129299556,0.09475328393339998
"Beta, no hurdle",beta_no_hurdle,equal,0.8,0.9124165148755312,0.05542534213204883,0.0333344007045618
"Beta, no hurdle",beta_no_hurdle,volume,0.8,0.9649395128387444,0.10773942927685327,0.09290931669259865
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.8,0.9590353506766481,0.06686803684967883,0.060438579799170666
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.8,0.8510928961748634,0.05270478800854337,0.02277680738571853
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.8,0.6800821639068593,0.08428350365966628,0.028102514998109143
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.8,0.8920317789284855,0.05741062977899202,0.04085544774145
MHB,mhb,equal,0.8,0.8772009714632666,0.052179963491926246,0.02591328731860694
MHB,mhb,volume,0.8,0.7068579208350387,0.08345584018524464,0.03287065316354172
MHB,mhb,contract_balanced,0.8,0.8985324390489335,0.05701222547959803,0.04156304286130344
DR normal,dr_normal,equal,0.95,0.946114146933819,0.12036948459147646,0.04312766172137887
DR normal,dr_normal,volume,0.95,0.9595840347986694,0.17441743450611877,0.07651646326998957
DR normal,dr_normal,contract_balanced,0.95,0.9614101348362575,0.08777213560527726,0.03973223610306073
DR-AS normal,dras_normal,equal,0.95,0.9561323618700668,0.12119456808204616,0.05940454400490822
DR-AS normal,dras_normal,volume,0.95,0.9905996588954,0.22856530958898266,0.20360192818268233
DR-AS normal,dras_normal,contract_balanced,0.95,0.9957099664399055,0.14344597121118213,0.1347445954465605
"Beta, no hurdle",beta_no_hurdle,equal,0.95,0.9540072859744991,0.11806294565458701,0.05225939659836774
"Beta, no hurdle",beta_no_hurdle,volume,0.95,0.985223507067792,0.1882742524352409,0.15034165169764713
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.95,0.9912474434073925,0.12154787363979118,0.10726922669521056
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.95,0.9424711596842744,0.11990184932408102,0.05010148749320396
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.95,0.844330763923957,0.23557572093992224,0.09488391499598127
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.95,0.9605537526274249,0.12754143956807104,0.09102887164604963
MHB,mhb,equal,0.95,0.9556769884638737,0.12012895079763085,0.05589144172954296
MHB,mhb,volume,0.95,0.9311038938627518,0.21426403062530142,0.14429606385538793
MHB,mhb,contract_balanced,0.95,0.9776711636141099,0.12387998053402606,0.10092602882258352
