model_a,model_b,metric,weighting,difference_b_minus_a,ci_low,ci_high,clusters,draws
MHB,DR normal,nll,equal,1.5233683698993339,0.6816826734458481,2.47035289498305,24,999
MHB,DR-AS normal,nll,equal,0.7352055212954657,0.32518582658653167,1.1721038339559855,24,999
MHB,"Beta, no hurdle",nll,equal,0.4439592426000087,0.2162425720686952,0.7529731561900078,24,999
MHB,"Hurdle beta, post-hoc coherence",nll,equal,1.4652534038887821,0.05597705932620087,4.155385156581384,24,999
MHB,DR normal,is,equal,0.00024053379384561462,-0.0019334811155882143,0.0024692661839170447,24,999
MHB,DR-AS normal,is,equal,0.0010656172844153281,-0.000915041046230045,0.003391422167725052,24,999
MHB,"Beta, no hurdle",is,equal,-0.0020660051430438317,-0.0042715028434717325,0.0006480865692011389,24,999
MHB,"Hurdle beta, post-hoc coherence",is,equal,-0.00022710147354981932,-0.0011711916288065906,0.0006189891022623434,24,999
MHB,DR normal,nll,volume,3.151840811591127,0.23415808916736588,5.695424782290271,23,999
MHB,DR-AS normal,nll,volume,0.3706798490786753,-0.0032366056046174117,0.8649410180496281,23,999
MHB,"Beta, no hurdle",nll,volume,0.19152303511507138,-0.17437051452783528,0.7112211866375248,23,999
MHB,"Hurdle beta, post-hoc coherence",nll,volume,19.96677545306769,0.225586674115269,52.08893228395034,23,999
MHB,DR normal,is,volume,-0.03984659611918262,-0.09821292621850518,0.012391770180999658,23,999
MHB,DR-AS normal,is,volume,0.014301278963681276,-0.03643640504751648,0.05079349278061894,23,999
MHB,"Beta, no hurdle",is,volume,-0.025989778190060493,-0.06430502082153862,0.01249734306990938,23,999
MHB,"Hurdle beta, post-hoc coherence",is,volume,0.021311690314620844,-0.0021465693633797097,0.044076276047012815,23,999
