category,regime,model,model_slug,weighting,n,weight_sum,negative_log_score,interval_score
All,all,DR normal,dr_normal,equal,6588,6588.0,4.1858465017937,0.12036948459147646
All,all,DR-AS normal,dras_normal,equal,6588,6588.0,3.397683653189832,0.12119456808204616
All,all,"Beta, no hurdle",beta_no_hurdle,equal,6588,6588.0,3.1064373744943747,0.11806294565458701
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,6588,6588.0,4.127731535783148,0.11990184932408102
All,all,MHB,mhb,equal,6588,6588.0,2.6624781318943658,0.12012895079763085
All,all,DR normal,dr_normal,volume,6588,465323.54000000004,6.103336850334294,0.17441743450611877
All,all,DR-AS normal,dras_normal,volume,6588,465323.54000000004,3.322175887821842,0.22856530958898266
All,all,"Beta, no hurdle",beta_no_hurdle,volume,6588,465323.54000000004,3.1430190738582375,0.1882742524352409
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,6588,465323.54000000004,22.918271491810852,0.23557572093992224
All,all,MHB,mhb,volume,6588,465323.54000000004,2.9514960387431657,0.21426403062530142
All,all,DR normal,dr_normal,contract_balanced,6588,24.0,3.120077869295328,0.08777213560527726
All,all,DR-AS normal,dras_normal,contract_balanced,6588,24.0,2.929835717315742,0.14344597121118213
All,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,6588,24.0,2.701227152845116,0.12154787363979118
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,6588,24.0,10.095045907433603,0.12754143956807104
All,all,MHB,mhb,contract_balanced,6588,24.0,2.224778136652635,0.12387998053402606
Economics,all,DR normal,dr_normal,equal,6588,6588.0,4.1858465017937,0.12036948459147646
Economics,all,DR-AS normal,dras_normal,equal,6588,6588.0,3.397683653189832,0.12119456808204616
Economics,all,"Beta, no hurdle",beta_no_hurdle,equal,6588,6588.0,3.1064373744943747,0.11806294565458701
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,6588,6588.0,4.127731535783148,0.11990184932408102
Economics,all,MHB,mhb,equal,6588,6588.0,2.6624781318943658,0.12012895079763085
Economics,all,DR normal,dr_normal,volume,6588,465323.54000000004,6.103336850334294,0.17441743450611877
Economics,all,DR-AS normal,dras_normal,volume,6588,465323.54000000004,3.322175887821842,0.22856530958898266
Economics,all,"Beta, no hurdle",beta_no_hurdle,volume,6588,465323.54000000004,3.1430190738582375,0.1882742524352409
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,6588,465323.54000000004,22.918271491810852,0.23557572093992224
Economics,all,MHB,mhb,volume,6588,465323.54000000004,2.9514960387431657,0.21426403062530142
Economics,all,DR normal,dr_normal,contract_balanced,6588,24.0,3.120077869295328,0.08777213560527726
Economics,all,DR-AS normal,dras_normal,contract_balanced,6588,24.0,2.929835717315742,0.14344597121118213
Economics,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,6588,24.0,2.701227152845116,0.12154787363979118
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,6588,24.0,10.095045907433603,0.12754143956807104
Economics,all,MHB,mhb,contract_balanced,6588,24.0,2.224778136652635,0.12387998053402606
All,active,DR normal,dr_normal,equal,2584,2584.0,8.388719277549166,0.2485627812345268
All,active,DR-AS normal,dras_normal,equal,2584,2584.0,6.214214397112841,0.23618022183969237
All,active,"Beta, no hurdle",beta_no_hurdle,equal,2584,2584.0,5.499758915985299,0.23373969016966054
All,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,2584,2584.0,9.200567464594437,0.2433588592433006
All,active,MHB,mhb,equal,2584,2584.0,5.419464943586547,0.23566511549377864
All,active,DR normal,dr_normal,volume,2584,227361.33000000002,10.21241017838034,0.27747010604354133
All,active,DR-AS normal,dras_normal,volume,2584,227361.33000000002,3.5895720607852204,0.2891465500653316
All,active,"Beta, no hurdle",beta_no_hurdle,volume,2584,227361.33000000002,3.467707347081821,0.24694572445066298
All,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,2584,227361.33000000002,46.611209758395525,0.41595288621260174
All,active,MHB,mhb,volume,2584,227361.33000000002,5.7052680796613,0.31004408766634356
All,active,DR normal,dr_normal,contract_balanced,2584,23.0,4.973080176792755,0.1535150106036204
All,active,DR-AS normal,dras_normal,contract_balanced,2584,23.0,3.08808125506691,0.1716548794025129
All,active,"Beta, no hurdle",beta_no_hurdle,contract_balanced,2584,23.0,2.83121773156332,0.14832112787244692
All,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,2584,23.0,30.209042056776095,0.17881029474914098
All,active,MHB,mhb,contract_balanced,2584,23.0,3.8448238946496347,0.15908462142118465
Economics,active,DR normal,dr_normal,equal,2584,2584.0,8.388719277549166,0.2485627812345268
Economics,active,DR-AS normal,dras_normal,equal,2584,2584.0,6.214214397112841,0.23618022183969237
Economics,active,"Beta, no hurdle",beta_no_hurdle,equal,2584,2584.0,5.499758915985299,0.23373969016966054
Economics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,2584,2584.0,9.200567464594437,0.2433588592433006
Economics,active,MHB,mhb,equal,2584,2584.0,5.419464943586547,0.23566511549377864
Economics,active,DR normal,dr_normal,volume,2584,227361.33000000002,10.21241017838034,0.27747010604354133
Economics,active,DR-AS normal,dras_normal,volume,2584,227361.33000000002,3.5895720607852204,0.2891465500653316
Economics,active,"Beta, no hurdle",beta_no_hurdle,volume,2584,227361.33000000002,3.467707347081821,0.24694572445066298
Economics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,2584,227361.33000000002,46.611209758395525,0.41595288621260174
Economics,active,MHB,mhb,volume,2584,227361.33000000002,5.7052680796613,0.31004408766634356
Economics,active,DR normal,dr_normal,contract_balanced,2584,23.0,4.973080176792755,0.1535150106036204
Economics,active,DR-AS normal,dras_normal,contract_balanced,2584,23.0,3.08808125506691,0.1716548794025129
Economics,active,"Beta, no hurdle",beta_no_hurdle,contract_balanced,2584,23.0,2.83121773156332,0.14832112787244692
Economics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,2584,23.0,30.209042056776095,0.17881029474914098
Economics,active,MHB,mhb,contract_balanced,2584,23.0,3.8448238946496347,0.15908462142118465
All,inactive,DR normal,dr_normal,equal,4004,4004.0,1.4735030321253364,0.037639345099557846
